"APPLICATION_NUMBER","PRIMARY_OWNER_NAME","WATER_RIGHT_TYPE","WATER_RIGHT_STATUS","CALENDAR YEAR","DATE_REPORT_FILED","REVISION","FACE_VALUE_OR_REPORTED_VALUE","COUNTY","SOURCE","HUC8_NAME","HUC12_NAME","WATERSHED","POD_COUNT","TOTAL_DIRECT_DIVERSION","TOTAL_DIVERTED_STORAGE","TOTAL_DIVERTED","TOTAL_AMOUNT_USED","JAN_DIRECT_DIVERSION","FEB_DIRECT_DIVERSION","MAR_DIRECT_DIVERSION","APR_DIRECT_DIVERSION","MAY_DIRECT_DIVERSION","JUN_DIRECT_DIVERSION","JUL_DIRECT_DIVERSION","AUG_DIRECT_DIVERSION","SEP_DIRECT_DIVERSION","OCT_DIRECT_DIVERSION","NOV_DIRECT_DIVERSION","DEC_DIRECT_DIVERSION","JAN_DIVERTED_STORAGE","FEB_DIVERTED_STORAGE","MAR_DIVERTED_STORAGE","APR_DIVERTED_STORAGE","MAY_DIVERTED_STORAGE","JUN_DIVERTED_STORAGE","JUL_DIVERTED_STORAGE","AUG_DIVERTED_STORAGE","SEP_DIVERTED_STORAGE","OCT_DIVERTED_STORAGE","NOV_DIVERTED_STORAGE","DEC_DIVERTED_STORAGE","JAN_DIVERTED_TOTAL","FEB_DIVERTED_TOTAL","MAR_DIVERTED_TOTAL","APR_DIVERTED_TOTAL","MAY_DIVERTED_TOTAL","JUN_DIVERTED_TOTAL","JUL_DIVERTED_TOTAL","AUG_DIVERTED_TOTAL","SEP_DIVERTED_TOTAL","OCT_DIVERTED_TOTAL","NOV_DIVERTED_TOTAL","DEC_DIVERTED_TOTAL","JAN_AMOUNT_USED","FEB_AMOUNT_USED","MAR_AMOUNT_USED","APR_AMOUNT_USED","MAY_AMOUNT_USED","JUN_AMOUNT_USED","JUL_AMOUNT_USED","AUG_AMOUNT_USED","SEP_AMOUNT_USED","OCT_AMOUNT_USED","NOV_AMOUNT_USED","DEC_AMOUNT_USED"
"A000018","GLENN-COLUSA IRRIGATION DISTRICT","Appropriative","Licensed","Jan 2008 - Dec 2008","2011-06-29","1","53673.0","Glenn","SACRAMENTO RIVER","Big Chico Creek-Sacramento River","Murphy Slough-Sacramento River","TEHAMA","1","","","27554.0","27554.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0","0.0","0.0","3270.0","6758.0","4314.0","4609.0","4314.0","1289.0","3000.0","0.0","0.0","0.0","0.0","0.0","3270.0","6758.0","4314.0","4609.0","4314.0","1289.0","3000.0","0.0","0.0"
"A000023","US BUREAU OF RECLAMATION","Appropriative","Licensed","Jan 2008 - Dec 2008","2012-06-28","1","44340.0","Madera","SAN JOAQUIN RIVER","Middle San Joaquin-Lower Chowchilla","Lost Lake-San Joaquin River","SAN JOAQUIN RIVER","1","","","44340.0","44340.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0","0.0","0.0","21627.5","22712.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","21627.5","22712.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"A000042","MEADOW RANCH CORP","Appropriative","Licensed","Jan 2008 - Dec 2008","2010-05-28","1","158.6","Mono","WITCHER CREEK","Crowley Lake","Lower Rock Creek","OWENS","3","","","158.6","158.6","","","","","","","","","","","","","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","38.7","40.0","40.0","38.7","1.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","38.7","40.0","40.0","38.7","1.2","0.0","0.0"
"A000077A","Northern California Power Agency","Appropriative","Licensed","Jan 2008 - Dec 2008","2011-06-23","1","4062.0","Tuolumne","HIGHLAND CREEK","Upper Stanislaus","Highland Creek","STANISLAUS RIVER","2","","","4062.0","4062.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0","0.0","0.0","1500.0","2562.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","210.0","750.0","540.0","940.0","850.0","772.0"
"A000098","ANANDA ASHRAMA INC","Appropriative","Licensed","Jan 2008 - Dec 2008","2011-06-20","1","54.3","Los Angeles","WARDS CANYON","Los Angeles","Verdugo Wash","LOS ANGELES RIVER","3","","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"A000102","LOS ANGELES DEPARTMENT OF WATER AND POWER","Appropriative","Licensed","Jan 2008 - Dec 2008","2011-06-29","1","76.4","Inyo","UNSP","Crowley Lake","McGee Creek","OWENS","1","","","730.0","730.0","","","","","","","","","","","","","","","","","","","","","","","","","62.0","56.0","62.0","60.0","62.0","60.0","62.0","62.0","60.0","62.0","60.0","62.0","62.0","56.0","62.0","60.0","62.0","60.0","62.0","62.0","60.0","62.0","60.0","62.0"
"A000186","CACHIL DEHE BAND OF WINTUN INDIANS OF","Appropriative","Licensed","Jan 2008 - Dec 2008","2011-06-23","1","3198.4","Colusa","SACRAMENTO RIVER","Sacramento-Stone Corral","Packer Lake-Sacramento River","COLUSA BASIN","1","","","6044.5","6044.5","","","","","","","","","","","","","","","","","","","","","","","","","0.0","0.0","0.0","863.5","863.5","863.5","863.5","863.5","863.5","863.5","0.0","0.0","0.0","0.0","0.0","863.5","863.5","863.5","863.5","863.5","863.5","863.5","0.0","0.0"
"A000192","CITYWEDO INVESTMENT, LLC","Appropriative","Licensed","Jan 2008 - Dec 2008","2011-03-07","1","71.0","Los Angeles","UNSP","Antelope-Fremont Valleys","Le Montaine Creek","MOJAVE","3","","","16850.0","16850.0","","","","","","","","","","","","","","","","","","","","","","","","","1300.0","1250.0","1200.0","1400.0","1700.0","1800.0","1500.0","1500.0","1400.0","1600.0","1200.0","1000.0","1300.0","1250.0","1200.0","1400.0","1700.0","1800.0","1500.0","1500.0","1400.0","1600.0","1200.0","1000.0"
"A000202","JEFF  WHITAKER","Appropriative","Licensed","Jan 2008 - Dec 2008","2011-03-18","1","1122.9","Lassen","LONG VALLEY CREEK","Honey-Eagle Lakes","Chimney Canyon-Long Valley Creek","SUSANVILLE","1","","","0.0","0.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"A000230A","W.A. YERXA FAMILY REV TRUST","Appropriative","Licensed","Jan 2008 - Dec 2008","2011-07-01","1","484.0","Colusa","SACRAMENTO RIVER","Sacramento-Stone Corral","Packer Lake-Sacramento River","COLUSA BASIN","2","","","80.0","80.0","","","","","","","","","","","","","","","","","","","","","","","","","0.0","0.0","0.0","0.0","80.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","80.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
